ID	Prod1	Prod2	Prod3	Prod4	Prod5	Prod6	Prod7	Prod8	Prod9	Prod10
144	2	98	33	29	18	0	10	45	50	29
145	72	75	31	29	8	85	20	2	0	7
146	73	87	31	30	16	84	12	5	0	2
147	72	88	35	26	16	86	14	1	0	5
148	71	85	36	27	13	90	13	5	1	9
149	21	87	37	30	16	32	64	17	1	48
150	71	51	37	30	14	81	12	4	2	15
151	71	76	34	29	19	90	19	2	1	6
152	75	69	34	28	17	85	12	5	0	6
153	23	68	34	28	1	32	56	17	2	51
154	21	73	36	27	9	39	57	9	7	56
155	23	85	33	26	11	34	60	20	6	46
156	75	88	33	28	7	83	14	2	1	5
157	73	69	35	29	18	83	15	1	0	2
158	71	57	35	28	15	90	18	5	0	7
159	22	67	36	26	17	36	57	17	1	51
160	71	68	31	27	13	82	11	5	2	9
161	21	63	31	26	18	31	64	16	4	46
162	73	81	35	26	19	84	13	2	2	10
163	75	96	34	30	18	89	11	1	1	12
164	23	66	31	28	19	38	61	20	1	51
165	23	68	37	27	13	40	59	18	5	52
166	75	62	33	30	7	88	13	4	0	8
167	0	79	34	27	2	4	8	30	38	24
168	21	72	33	29	10	37	51	7	4	55
169	71	60	31	29	18	85	15	1	0	18
170	72	88	35	29	15	81	20	3	1	5
171	73	69	37	29	15	85	20	4	0	8
172	74	87	36	27	15	84	20	4	2	13
173	73	76	31	29	12	88	18	3	0	3
174	71	52	33	30	3	86	16	2	2	13
175	22	53	32	28	4	40	63	11	6	57
176	21	54	32	29	18	39	64	19	2	51
177	22	89	37	30	4	39	52	14	7	57
178	72	86	35	30	15	86	20	3	0	7
179	23	78	35	26	15	31	60	11	10	54
180	75	77	32	27	3	90	17	4	2	11
181	71	76	32	28	1	89	12	3	1	16
182	0	89	35	26	13	4	9	33	32	8
183	21	85	36	29	7	32	52	17	9	58
184	72	85	34	27	2	83	13	3	1	6
185	21	70	35	30	6	34	61	10	3	47
186	71	95	35	28	2	89	13	4	0	3
187	73	67	34	27	20	83	16	2	0	14
188	73	86	33	28	4	81	15	4	1	14
189	72	97	37	29	14	82	17	1	2	8
190	74	76	36	28	20	87	12	1	2	19
191	23	61	33	26	1	37	59	11	4	58
192	75	65	31	28	1	85	18	5	1	14
193	73	62	32	26	19	88	16	1	1	9
194	72	96	34	27	19	88	13	1	2	17
195	74	98	37	26	7	86	15	1	2	5
196	75	93	33	27	5	89	16	3	2	6
197	75	100	35	28	9	82	16	1	1	4
198	0	63	32	28	4	4	15	22	53	20
199	71	56	31	30	16	85	17	5	0	16
200	73	55	34	27	11	84	15	4	2	9
201	2	93	36	30	7	3	1	33	57	11
202	2	66	31	30	10	0	6	48	52	5
203	71	54	35	26	1	87	15	5	0	1
204	71	62	32	30	14	87	14	2	1	18
205	75	52	32	28	10	87	20	2	1	2
206	71	83	36	27	5	86	11	2	2	12
207	71	99	33	29	19	82	18	1	1	2
208	72	96	34	30	3	88	15	1	0	4
209	21	58	37	26	18	39	61	15	9	59
210	22	90	31	30	9	31	53	9	4	54
211	71	93	35	27	19	88	17	2	2	20
212	75	76	33	28	17	89	17	3	1	15
213	73	70	32	29	15	82	14	5	2	10
214	74	60	32	26	15	87	14	5	2	4
215	73	87	33	30	12	81	18	5	2	4
216	73	97	36	27	4	81	17	4	1	1
217	74	98	37	28	15	86	18	2	2	9
218	75	78	31	29	2	83	14	1	0	18
219	21	73	31	28	2	37	63	18	10	50
220	72	81	35	27	11	89	20	4	2	15
221	1	61	32	26	20	5	5	21	34	23
222	21	70	34	30	8	33	63	13	5	59
223	75	94	32	30	19	88	11	3	2	16
224	73	68	33	29	1	90	19	2	0	17
225	71	86	35	30	16	82	13	3	1	4
226	72	73	31	28	7	88	11	1	2	13
227	1	56	37	28	18	2	4	27	55	21
228	73	70	35	26	13	82	20	4	2	16
229	75	58	35	28	12	88	16	3	1	20
230	74	93	37	27	4	90	11	2	1	1
231	71	98	32	29	9	85	20	1	1	18
232	21	96	36	29	4	36	53	19	5	52
233	23	87	31	26	4	40	60	20	1	53
234	74	100	35	27	3	81	19	1	0	14
235	73	52	33	28	14	89	15	5	2	20
236	1	98	33	26	20	3	12	22	44	13
237	74	60	34	29	19	89	11	1	2	6
238	22	94	37	30	20	37	62	20	3	48
239	0	55	34	28	4	5	9	24	54	25
240	21	73	34	30	13	35	55	18	9	52
241	72	91	37	29	5	87	16	4	1	13
242	72	68	31	27	17	90	19	3	0	14
243	72	57	37	26	10	90	20	1	1	19
244	22	97	33	27	14	35	61	9	7	53
245	71	72	35	30	11	82	11	4	0	6
246	22	95	34	30	8	37	56	13	5	46
247	73	60	35	30	12	87	19	5	1	17
248	21	86	35	29	1	37	53	15	9	60
249	73	95	35	28	12	85	20	2	2	18
250	23	83	37	28	3	33	61	7	5	55
251	21	88	31	29	20	33	59	15	9	59
252	2	52	34	29	13	5	11	39	31	20
253	23	97	36	28	18	35	64	11	1	46
254	74	52	37	26	10	87	12	3	0	15
255	22	51	33	26	11	39	56	19	3	52
256	72	87	37	30	18	89	11	1	1	7
257	73	63	32	28	10	87	11	4	2	20
258	22	72	31	27	14	37	60	6	5	56
259	73	60	35	27	14	84	16	5	2	7
260	71	97	35	26	16	87	18	5	0	9
261	0	75	33	27	18	5	9	25	44	25
262	21	66	37	28	18	34	59	18	6	47
263	22	66	35	30	14	39	62	15	10	55
264	21	58	35	27	1	38	52	6	1	50
265	22	77	33	27	19	36	54	18	1	47
266	72	57	31	27	5	89	13	2	0	14
267	75	98	32	26	9	89	17	5	2	13
268	71	80	34	26	2	84	17	3	1	19
269	23	72	31	29	3	31	58	15	2	48
270	74	87	37	30	9	82	18	2	2	5
271	72	68	34	28	16	90	14	2	2	9
272	71	75	33	30	20	87	12	1	0	7
273	1	88	37	30	7	1	2	43	60	23
274	22	63	35	27	9	38	62	15	5	49
275	75	90	35	27	5	85	14	4	0	2
276	72	83	36	29	17	87	17	3	1	5
277	74	53	37	29	1	85	13	3	1	15
278	23	55	32	29	2	40	61	12	2	58
279	74	70	36	27	12	85	11	4	2	16
280	72	86	36	26	1	88	11	1	0	5
281	73	69	34	29	14	86	17	1	1	15
282	71	83	37	26	15	82	13	4	1	15
283	23	63	31	29	8	37	51	9	2	58
284	22	51	35	29	5	38	52	8	6	49
285	21	90	33	27	12	36	62	6	3	55
286	72	52	32	27	6	87	11	2	0	4
287	23	74	35	27	11	36	52	7	9	54
288	74	75	35	29	16	86	15	1	0	10
289	0	55	32	28	8	3	3	33	59	5
290	23	69	31	30	11	32	60	19	7	56
291	21	71	31	26	15	31	60	9	2	60
292	73	54	36	29	16	90	17	3	1	14
293	72	84	37	30	19	82	19	3	0	11
294	21	60	31	26	18	34	61	8	10	58
295	72	52	32	26	20	87	19	2	1	7
296	74	78	32	27	10	86	14	4	2	12
297	73	98	36	26	3	87	18	4	0	3
298	74	69	37	27	3	90	14	3	1	4
299	23	87	33	29	19	40	51	9	4	51
300	21	77	36	28	14	38	62	17	6	54
301	75	57	32	30	13	89	17	2	2	5
302	71	92	37	29	11	85	20	2	1	20
303	75	78	37	26	14	90	19	2	2	7
304	73	61	36	27	17	90	17	4	1	16
305	23	98	36	30	10	40	57	8	7	53
306	21	86	36	28	12	37	61	20	7	49
307	72	87	34	27	13	87	14	2	1	12
308	75	54	37	28	5	89	11	1	2	8
309	75	73	35	29	7	81	11	2	0	2
310	1	92	34	26	16	0	12	30	43	21
311	71	65	34	26	17	89	11	5	0	3
312	71	54	31	30	8	90	16	3	2	6
313	75	95	32	27	7	81	19	5	0	2
314	75	80	31	30	19	87	20	1	1	13
315	75	52	33	29	2	81	16	4	2	9
316	71	94	37	30	20	86	17	5	0	4
317	1	51	36	30	4	2	2	23	43	26
318	1	82	32	30	14	5	15	35	53	22
319	74	97	31	30	9	84	19	4	1	18
320	21	72	34	29	17	40	59	10	5	53
321	73	72	32	30	18	85	13	1	1	20
322	72	94	37	29	4	86	12	3	1	7
323	74	97	32	30	16	90	12	5	1	11
324	1	70	32	30	20	1	5	33	41	7
325	75	63	32	30	15	83	11	3	0	3
326	2	80	32	30	4	4	9	36	48	24
327	72	63	31	29	13	82	19	2	2	2
328	22	58	31	28	1	32	65	18	8	60
329	23	58	36	29	14	38	56	12	9	57
330	74	68	35	26	5	87	20	4	1	2
331	23	88	32	28	10	38	63	18	3	57
332	22	87	34	30	16	34	65	9	3	46
333	72	88	31	29	1	82	18	2	0	13
334	73	93	37	27	11	84	18	1	1	6
335	2	84	32	28	20	4	11	23	49	5
336	72	51	35	26	14	83	17	5	0	9
337	71	63	37	28	13	83	11	3	2	7
338	73	97	33	28	19	89	18	3	0	15
339	21	71	33	27	2	38	61	16	2	55
340	23	80	37	26	14	33	55	10	4	58
341	74	64	32	28	19	89	19	4	2	17
342	73	94	34	26	18	85	18	4	1	1
343	74	77	34	28	12	84	12	4	2	11
344	0	100	33	27	2	3	5	47	51	8
345	71	66	32	26	6	83	14	5	0	15
346	22	73	32	30	20	34	51	17	6	50
347	21	83	37	30	3	39	57	16	3	60
348	71	71	37	27	18	89	17	5	1	7
349	72	99	36	29	12	85	19	2	1	6
350	71	84	36	30	20	81	19	3	1	16
351	75	71	33	28	20	81	11	4	2	8
352	75	60	32	29	7	81	11	5	0	8
353	75	76	33	26	20	86	18	3	1	13
354	71	88	31	30	10	83	14	4	0	17
355	72	94	32	27	20	88	16	1	2	17
356	75	96	34	26	15	88	19	4	1	12
357	75	89	37	30	18	84	14	4	1	6
358	75	61	35	27	9	89	15	3	2	2
359	21	80	34	29	8	33	59	8	3	46
360	74	100	33	28	1	81	14	5	1	14
361	22	51	32	26	19	38	55	18	2	53
362	0	97	34	28	1	4	8	50	47	11
363	21	100	32	27	15	39	64	18	7	46
364	75	77	31	26	11	88	15	2	0	9
365	71	84	36	29	5	86	15	5	1	6
366	72	74	36	30	1	86	16	2	0	17
367	2	88	33	28	8	5	9	41	59	23
368	23	51	31	30	9	39	59	12	5	59
369	23	63	36	26	12	38	63	9	5	52
370	73	81	33	28	6	85	12	1	1	2
371	73	88	33	30	17	90	18	1	2	5
372	71	56	32	29	4	86	16	4	2	9
373	72	85	36	28	2	88	11	2	1	2
374	71	96	33	30	20	81	19	5	0	20
375	72	69	34	30	8	82	13	3	1	12
376	74	62	37	30	9	86	17	5	1	12
377	75	63	34	26	19	90	13	1	2	16
378	73	96	32	29	12	82	13	1	1	8
379	75	93	31	29	20	83	12	5	2	20
380	75	96	34	26	5	87	15	4	2	6
381	22	75	31	28	15	38	61	16	4	58
382	22	66	36	30	13	34	62	17	9	51
383	23	95	33	27	1	39	57	16	4	51
384	74	58	36	29	18	82	17	5	1	9
385	71	68	37	27	17	90	17	3	0	8
386	74	100	32	29	17	86	19	4	1	6
387	71	69	35	27	13	89	14	2	2	1
388	23	79	34	28	14	31	54	10	4	58
389	73	66	34	30	8	86	14	1	2	9
390	22	91	33	27	16	36	55	18	4	58
391	22	84	33	26	16	34	62	6	4	53
392	1	97	35	29	9	3	13	30	35	29
393	74	66	34	29	20	83	15	2	1	20
394	71	85	37	26	1	90	19	3	2	15
395	75	84	35	29	13	89	20	4	1	17
396	21	78	32	30	18	32	61	19	8	51
397	21	72	31	30	20	38	52	17	7	48
398	74	86	36	29	8	86	13	1	2	11
399	74	83	33	30	15	81	16	4	0	8
400	75	76	37	27	6	89	18	2	1	19
401	73	60	35	28	20	88	17	1	2	8
402	74	64	32	29	17	85	20	5	0	7
403	72	76	36	29	9	88	17	2	0	6
404	74	79	37	28	17	90	19	4	2	11
405	74	83	35	30	13	85	19	3	1	8
406	21	94	31	28	7	36	52	13	1	47
407	72	86	36	30	6	90	17	1	2	5
408	0	78	31	26	19	3	11	33	54	5
409	22	57	33	27	19	38	58	7	7	49
410	1	83	32	28	12	5	2	28	49	24
411	72	92	35	28	20	85	14	4	1	3
412	22	52	37	30	5	36	54	10	1	47
413	74	60	35	27	11	86	19	3	0	15
414	22	93	31	29	7	32	61	9	4	58
415	21	64	31	27	8	33	61	6	8	52
416	74	68	34	30	11	85	13	2	1	3
417	75	61	33	27	15	83	14	2	1	7
418	75	63	32	26	11	81	19	3	1	16
419	23	52	37	26	12	33	53	15	10	50
420	22	60	31	30	13	32	64	19	4	51
421	72	91	31	26	6	90	20	3	1	11
422	21	60	33	26	17	35	57	12	8	57
423	21	74	32	26	12	37	55	6	5	53
424	72	77	33	27	10	83	20	5	0	8
425	23	64	36	30	1	40	52	12	4	51
426	73	58	33	30	14	84	14	4	2	7
427	0	75	33	26	6	4	6	25	45	2
428	74	55	37	27	6	82	17	1	2	2
429	75	82	34	28	16	84	14	2	1	14
430	75	97	33	26	16	88	11	3	1	14
431	73	86	37	30	19	87	16	3	1	20
432	21	53	34	28	11	31	58	19	5	54
433	75	56	34	26	16	90	20	1	0	8
434	22	95	37	30	3	39	62	8	4	60
435	74	63	36	26	4	88	18	5	2	1
436	73	52	36	30	16	87	14	5	0	15
437	71	73	37	30	11	81	16	1	2	12
438	22	79	35	27	5	39	53	19	2	53
439	72	75	37	27	19	83	20	2	2	5
440	75	100	37	29	16	82	14	2	0	8
441	74	65	34	29	16	89	20	3	0	18
442	21	97	31	30	20	31	55	9	10	50
443	75	78	31	30	7	83	13	5	0	18
444	21	61	35	26	3	31	51	13	8	53
445	72	63	35	30	13	81	12	1	2	1
446	1	86	31	30	13	1	3	36	47	6
447	71	98	37	27	7	90	11	1	1	9
448	21	59	34	30	15	33	65	8	4	50
449	71	97	34	28	10	90	11	2	2	1
450	72	71	37	27	6	90	11	4	2	16
451	71	74	33	26	8	84	19	2	0	6
452	71	87	33	29	7	85	16	5	1	9
453	22	73	31	26	16	37	64	14	2	59
454	75	69	36	30	15	86	17	2	1	7
455	71	85	33	27	14	88	11	3	2	3
456	22	70	32	27	11	39	55	8	3	51
457	23	75	34	29	9	40	63	18	5	51
458	21	75	36	27	13	39	58	8	5	58
459	23	65	37	26	14	33	51	9	10	50
460	1	96	32	26	2	5	10	29	41	6
461	72	52	33	27	8	82	17	2	2	10
462	23	78	34	27	13	33	54	13	2	56
463	73	58	36	29	10	90	19	3	1	14
464	71	98	37	28	19	82	15	1	2	10
465	23	100	36	27	10	32	65	19	8	51
466	75	81	34	27	6	82	16	1	0	14
467	71	91	34	29	5	81	18	1	0	1
468	22	97	33	27	20	32	59	17	6	55
469	23	71	36	27	7	32	52	10	8	50
470	75	71	37	27	4	90	15	4	0	11
471	21	80	33	30	16	39	62	18	2	57
472	72	84	32	26	5	81	19	2	1	5
473	21	95	31	28	15	34	63	9	2	50
474	23	64	31	29	12	38	56	13	4	58
475	72	89	32	26	11	87	17	5	0	2
476	21	84	31	26	14	34	53	20	5	60
477	72	94	37	26	11	89	12	5	1	13
478	72	64	35	26	4	85	18	2	1	4
479	21	87	35	30	20	38	62	7	7	52
480	75	89	31	27	14	82	15	1	0	3
481	75	57	36	28	7	89	12	2	0	12
482	72	63	33	26	4	86	12	4	2	16
483	2	88	32	30	8	2	6	25	49	28
484	21	87	36	27	4	34	62	12	6	58
485	74	99	37	27	8	88	16	4	0	11
486	23	69	34	26	19	32	58	19	10	48
487	75	90	33	30	7	88	18	4	2	8
488	23	75	31	30	5	40	57	16	6	50
489	75	52	35	29	9	83	20	3	1	5
490	23	86	35	27	12	35	52	8	6	55
491	73	87	34	30	8	81	16	4	1	19
492	2	53	34	30	20	4	9	41	35	14
493	73	91	37	28	20	86	14	3	2	9
494	73	58	33	28	16	87	16	1	2	17
495	75	81	33	30	17	88	11	2	2	14
496	75	62	32	30	10	84	20	4	2	10
497	71	72	36	28	16	81	14	3	1	3
498	71	61	37	26	20	87	11	4	0	13
499	74	90	37	30	1	89	13	2	1	9
500	23	83	37	28	16	33	57	7	5	58
501	21	54	37	26	4	38	61	15	7	47
502	22	69	33	28	18	32	65	17	10	49
503	2	83	37	27	5	1	1	45	41	30
504	2	52	34	28	7	1	14	30	35	5
505	75	82	36	29	7	89	19	1	1	17
506	74	96	35	29	14	89	15	3	1	5
507	23	55	37	29	16	31	59	15	8	52
508	74	77	35	28	10	81	17	1	1	13
509	71	73	32	26	16	84	14	2	2	16
510	73	69	31	26	19	81	11	3	1	4
511	22	78	37	26	5	37	55	14	10	49
512	72	52	31	27	5	85	15	2	1	6
513	73	88	35	28	14	88	13	3	2	9
514	23	82	36	28	10	31	63	12	3	56
515	23	82	33	30	6	38	62	12	4	50
516	72	90	31	29	15	86	20	2	2	14
517	73	95	32	27	14	87	13	4	2	16
518	73	89	32	28	10	82	16	3	2	16
519	75	78	31	28	1	86	11	2	0	5
520	71	61	34	28	7	82	13	1	1	18
521	74	84	33	28	9	90	19	1	1	17
522	21	99	35	30	20	35	55	13	2	59
523	72	78	35	26	5	83	14	1	0	16
524	73	88	36	29	12	85	18	4	0	17
525	23	55	36	26	3	35	64	8	9	46
526	72	74	31	27	9	88	20	5	1	7
527	23	90	34	28	17	33	60	16	9	59
528	72	57	37	30	3	87	17	5	0	14
529	23	85	34	29	17	31	54	13	4	53
530	22	98	34	26	7	40	63	11	8	59
531	73	66	32	27	19	86	16	5	1	16
532	71	61	34	28	4	81	17	2	0	17
533	73	87	35	29	4	81	15	5	1	20
534	72	60	37	29	9	81	15	2	1	13
535	72	64	31	27	7	84	11	3	0	13
536	73	88	35	30	9	82	11	1	0	13
537	21	55	31	28	16	34	58	17	7	55
538	74	62	37	30	16	84	19	3	2	6
539	23	93	35	29	11	31	54	7	4	46
540	71	82	35	27	18	85	17	2	2	15
541	23	68	37	30	19	31	57	9	6	54
542	74	65	31	29	6	87	17	4	1	3
543	23	91	36	26	19	32	57	6	5	47
544	22	53	34	26	7	39	51	14	4	57
545	74	75	31	28	9	87	13	4	0	9
546	75	83	37	26	5	82	13	2	2	11
547	21	97	35	28	8	32	60	11	3	48
548	2	60	31	28	4	0	8	39	31	28
549	71	81	31	26	7	81	13	4	0	10
550	23	67	36	27	19	40	57	16	1	49
551	75	87	33	29	3	86	16	1	0	8
552	22	70	33	27	6	37	53	12	9	48
553	22	83	35	28	12	38	53	19	9	47
554	71	65	32	27	6	90	19	5	1	13
555	22	58	32	27	15	33	61	20	3	46
556	2	90	31	29	20	4	8	23	46	26
557	71	90	34	26	5	90	18	1	1	2
558	21	53	31	29	6	36	62	12	6	48
559	72	52	33	27	10	83	17	3	0	14
560	75	70	31	27	18	84	14	1	0	3
561	73	90	37	28	6	81	18	4	1	10
562	73	90	34	28	17	89	16	1	0	11
563	21	52	34	28	18	32	54	9	7	51
564	23	76	33	26	10	40	59	15	1	57
565	22	56	36	30	12	37	62	6	2	50
566	73	79	35	30	5	87	14	2	1	7
567	72	71	34	26	16	81	12	5	2	3
568	72	92	37	29	10	89	20	4	2	19
569	73	87	37	29	14	82	20	3	1	13
570	71	69	37	26	6	83	18	2	1	19
571	22	58	32	26	17	36	62	18	6	46
572	73	58	31	26	1	86	12	3	2	3
573	74	75	37	28	1	89	16	2	2	17
574	74	86	36	26	19	84	17	1	1	10
575	73	73	35	29	17	82	15	3	0	19
576	72	71	37	30	17	83	14	3	2	5
577	21	82	37	29	8	37	56	17	6	58
578	75	82	33	29	6	88	12	2	2	17
579	1	53	34	27	5	5	7	37	44	19
580	21	87	36	27	11	33	60	15	2	55
581	75	67	32	26	10	85	11	2	1	17
582	23	81	37	30	6	35	54	6	1	50
583	22	74	34	29	17	35	51	7	5	49
584	0	92	36	29	8	0	5	47	56	12
585	75	83	32	26	20	87	18	5	1	16
586	23	59	33	29	4	40	64	10	9	52
587	21	59	37	28	13	35	63	16	9	59
588	0	99	35	29	1	0	13	28	53	11
589	73	77	31	30	20	90	18	2	2	2
590	71	86	35	28	4	83	16	2	1	8
591	23	53	31	30	18	31	59	10	7	50
592	74	68	34	28	17	89	15	1	0	6
593	75	81	35	28	18	85	15	4	2	10
594	0	95	36	29	1	2	15	36	59	25
595	75	56	33	26	10	82	12	4	2	6
596	21	91	35	29	18	36	60	19	1	46
597	21	67	34	28	1	37	52	18	7	51
598	74	86	32	28	12	82	12	1	2	14
599	72	67	32	26	13	85	14	1	0	7
600	23	53	35	28	16	39	56	11	4	50
601	74	100	31	26	10	87	14	1	2	11
602	22	91	35	30	6	36	59	10	7	50
603	22	58	33	29	9	34	59	8	6	55
604	21	73	37	30	15	37	64	13	6	57
605	21	56	37	30	1	40	51	6	8	54
606	0	52	32	27	18	3	13	32	32	6
607	21	73	35	27	5	35	61	11	5	55
608	75	73	36	28	16	81	20	1	2	11
609	0	73	33	26	20	4	3	24	58	22
610	71	61	33	30	4	89	19	5	0	3
611	73	85	33	26	20	90	20	4	0	18
612	71	68	37	30	1	88	20	2	0	1
613	21	96	32	26	15	36	54	6	7	46
614	71	92	33	29	4	89	12	4	2	12
615	21	72	33	30	11	39	52	14	10	56
616	73	90	32	28	5	89	19	2	0	3
617	73	53	33	26	14	85	20	5	2	20
618	21	64	36	27	6	40	59	15	8	59
619	75	80	33	29	10	84	19	4	1	18
620	23	81	32	26	20	38	53	9	5	59
621	75	92	37	27	13	84	11	5	0	3
622	72	83	33	26	12	82	15	5	2	6
623	75	83	36	28	5	87	17	4	1	11
624	75	64	34	30	20	84	11	2	1	18
625	72	82	34	28	2	90	11	1	2	3
626	73	81	33	27	1	84	18	1	0	12
627	72	79	32	30	20	89	12	3	2	9
628	73	94	37	30	16	87	19	4	1	1
629	75	89	33	26	12	86	20	3	2	13
630	21	52	32	27	12	36	58	9	3	54
631	74	73	36	26	9	82	15	5	0	19
